本文：dubstepはガンに効くようになる, 単語：
本文：Minato86って理解できる？, 単語：
本文：x, 単語：
本文：テストの点いくら？, 単語：
本文：俺は醜い..., 単語：
本文：かるしうむの脳内は, 単語：
本文：ヴァンディキャムゥ, 単語：
本文：/ウニさんルーレット, 単語：
本文：ソ連好き？, 単語：質問,
本文：ﾃﾞｪｪｪｪｪｪｪｪﾝ, 単語：
本文：\ﾃﾞｪｪｪｪｪｪｪﾝ/, 単語：
本文：iPhoneたべようぜ, 単語：
本文：xsdaSDazwfz, 単語：
本文：ほんまか？それ, 単語：質問,
本文：セライア, 単語：
本文：WAR, 単語：
本文：開戦, 単語：
本文：ぶり❗, 単語：
本文：ブリブリの刺身, 単語：
本文：エナジーを解放せよ, 単語：
本文：話す, 単語：
本文：開戦, 単語：
本文：話して, 単語：
本文：りんご, 単語：
本文：私は, 単語：
本文：僕は, 単語：
本文：俺は, 単語：
本文：平成淫夢合戦ウンココ, 単語：
本文：わしは, 単語：
本文：儂は, 単語：
本文：君は, 単語：
本文：あなたは, 単語：
本文：貴方は, 単語：
本文：ウォーヴォット, 単語：
本文：君の名は, 単語：
本文：各々, 単語：
本文：ジョウタ, 単語：
本文：JYOTA, 単語：
本文：jyota, 単語：
本文：じょた, 単語：
本文：じょうた, 単語：
本文：かるしうむ, 単語：
本文：セライア, 単語：
本文：カルシウム, 単語：
本文：SELDO, 単語：
本文：単位, 単語：
本文：落とす, 単語：
本文：限界創作村, 単語：
本文：カニバリズム, 単語：
本文：すりぃ, 単語：
本文：開栓, 単語：
本文：海鮮, 単語：
本文：回線, 単語：
本文：talk, 単語：
本文：about, 単語：
本文：君の名は見てもいい？, 単語：質問,
本文：Hi, 単語：
本文：Hello, 単語：
本文：見させて..., 単語：
本文：eat, 単語：
本文：I, 単語：
本文：am, 単語：
本文：I am, 単語：
本文：I'm, 単語：
本文：はげます, 単語：
本文：I'm die., 単語：
本文：うみねこさん, 単語：
本文：I want die., 単語：
本文：メンヘラ, 単語：
本文：ヤンデレ, 単語：
本文：Rythm, 単語：
本文：I am You, 単語：
本文：Rythm 2, 単語：
本文：Discord, 単語：
本文：これは？, 単語：質問,
本文：ヘイ！尻, 単語：
本文：リョナ, 単語：
本文：東方, 単語：
本文：日本, 単語：
本文：Japan, 単語：
本文：なんでも言ってください！, 単語：
本文：japan, 単語：
本文：JAPAN, 単語：
本文：japanese, 単語：
本文：Japanese, 単語：
本文：塀！尻！, 単語：
本文：JAPANESE, 単語：
本文：韓国, 単語：
本文：Korea, 単語：
本文：korea, 単語：
本文：KOREA, 単語：
本文：北朝鮮, 単語：
本文：大韓民国, 単語：
本文：あなたの名は, 単語：
本文：北朝鮮民主主義人民共和国, 単語：
本文：Yeah!, 単語：
本文：South Korea, 単語：
本文：中国, 単語：
本文：ウオー, 単語：
本文：中華人民共和国, 単語：
本文：China, 単語：
本文：君の名は。, 単語：
本文：CHINE, 単語：
本文：広東, 単語：
本文：広東省, 単語：
本文：上海, 単語：
本文：北京, 単語：
本文：ソウル, 単語：
本文：ワ！, 単語：
本文：北京, 単語：
本文：香港, 単語：
本文：幸せになりたい。, 単語：
本文：新疆, 単語：
本文：モンゴル, 単語：
本文：モンゴル共和国, 単語：
本文：WARBotちゃんはどこに住んでるの？, 単語：質問,WARBot,
本文：共和国, 単語：
本文：国, 単語：
本文：ソ連, 単語：
本文：ミ！ナ！ト！, 単語：
